time,open,high,low,close,volume
2023-01-18T01:00:00.000Z,5615.6971,5662.6919,5607.4732,5659.918,351487
2023-01-18T02:00:00.000Z,5659.918,5688.2635,5654.8468,5685.4322,271207
2023-01-18T03:00:00.000Z,5685.4322,5733.2991,5682.4083,5731.336,300348
2023-01-18T05:00:00.000Z,5731.336,5752.9987,5724.3907,5734.3268,216653
2023-01-18T06:00:00.000Z,5734.3268,5739.0778,5718.0132,5723.8453,227133
2023-01-18T13:00:00.000Z,5743.6108,5766.567,5731.4928,5753.8345,391402
2023-01-18T14:00:00.000Z,5753.8345,5757.7677,5735.7713,5744.7056,178893
2023-01-19T01:00:00.000Z,5690.1334,5717.321,5661.514,5690.9124,553278
2023-01-19T02:00:00.000Z,5690.9124,5709.3822,5684.8411,5694.5192,176715
2023-01-19T03:00:00.000Z,5694.5192,5726.7049,5689.2788,5713.251,108080
2023-01-19T05:00:00.000Z,5709.2983,5712.3096,5699.5291,5703.6214,81222
2023-01-19T06:00:00.000Z,5703.6214,5723.2817,5688.4046,5721.5523,214825
2023-01-19T13:00:00.000Z,5725.6705,5755.0173,5712.1678,5743.8311,275725
2023-01-19T14:00:00.000Z,5743.8311,5832.438,5743.8311,5807.2848,432083
2023-01-20T01:00:00.000Z,5814.4324,5835.3916,5780.5275,5830.3813,300274
2023-01-20T02:00:00.000Z,5830.3813,5832.2912,5789.6625,5813.6993,137282
2023-01-20T03:00:00.000Z,5813.6993,5822.4865,5806.1562,5810.0907,57281
2023-01-20T05:00:00.000Z,5808.8035,5822.0746,5803.4666,5818.1595,68619
2023-01-20T06:00:00.000Z,5818.1595,5847.7066,5815.178,5846.5855,248977
2023-01-30T01:00:00.000Z,5838.7406,5838.7406,5750.579,5788.9653,575936
2023-01-30T02:00:00.000Z,5788.9653,5800.5764,5752.4482,5796.5421,237702
2023-01-30T03:00:00.000Z,5796.5421,5796.5421,5757.464,5766.0915,99475
2023-01-30T05:00:00.000Z,5758.348,5782.2425,5756.5811,5776.7217,69734
2023-01-30T06:00:00.000Z,5776.7217,5810.4806,5767.3662,5805.3411,220922
2023-01-30T13:00:00.000Z,5819.5058,5828.2201,5739.3842,5755.7075,521304
2023-01-30T14:00:00.000Z,5755.7075,5766.836,5747.7781,5759.4325,207617
2023-01-31T01:00:00.000Z,5753.7127,5759.287,5713.2685,5748.8384,428277
2023-01-31T02:00:00.000Z,5748.8384,5764.7114,5742.3482,5748.1491,162603
2023-01-31T03:00:00.000Z,5748.1491,5754.5746,5731.1516,5743.4417,97598
2023-01-31T05:00:00.000Z,5742.4822,5756.6706,5733.2827,5750.1985,111911
2023-01-31T06:00:00.000Z,5750.1985,5751.535,5731.2537,5734.4552,222716
2023-01-31T13:00:00.000Z,5735.9154,5767.0922,5699.0964,5739.3264,638225
2023-01-31T14:00:00.000Z,5739.3264,5815.109,5730.7297,5814.3366,402640
2023-02-01T01:00:00.000Z,5823.6238,5832.3837,5742.7794,5767.6573,451414
2023-02-01T02:00:00.000Z,5767.6573,5790.0929,5742.7565,5760.542,265737
2023-02-01T03:00:00.000Z,5760.542,5788.2905,5750.022,5779.4008,116356
2023-02-01T05:00:00.000Z,5779.4008,5782.8882,5762.6537,5778.832,180388
2023-02-01T06:00:00.000Z,5778.832,5804.4146,5775.6427,5788.2174,293874
2023-02-01T13:00:00.000Z,5794.4286,5802.64,5719.8581,5727.0633,601148
2023-02-01T14:00:00.000Z,5727.0633,5743.2711,5709.1162,5712.6679,340782
2023-02-02T01:00:00.000Z,5690.0005,5690.0005,5645.5826,5673.9085,605499
2023-02-02T02:00:00.000Z,5673.9085,5690.6493,5657.8259,5676.6282,250191
2023-02-02T03:00:00.000Z,5676.6282,5682.7493,5660.749,5661.1154,152685
2023-02-02T05:00:00.000Z,5662.1253,5673.8001,5633.668,5640.1104,170599
2023-02-02T06:00:00.000Z,5640.1104,5641.773,5588.8876,5612.4465,493609
2023-02-02T13:00:00.000Z,5587.9951,5620.2626,5583.0322,5595.9478,482548
2023-02-02T14:00:00.000Z,5595.9478,5633.811,5589.9686,5607.5298,275631
2023-02-03T01:00:00.000Z,5614.5409,5633.1918,5595.7386,5597.5864,301060
2023-02-03T02:00:00.000Z,5597.5864,5606.8112,5576.6438,5601.2709,337653
2023-02-03T03:00:00.000Z,5601.2709,5632.6826,5598.2252,5619.6644,223219
2023-02-03T05:00:00.000Z,5613.504,5621.1061,5603.6522,5614.9767,120722
2023-02-03T06:00:00.000Z,5614.9767,5657.1836,5613.5957,5630.3784,278052
2023-02-03T13:00:00.000Z,5643.4538,5662.0146,5623.2013,5657.7199,444870
2023-02-03T14:00:00.000Z,5657.7199,5700.1439,5652.2173,5695.6349,408492
2023-02-06T01:00:00.000Z,5607.7415,5631.1391,5561.5735,5616.0812,646888
