time,open,high,low,close,volume
2023-06-23T06:00:00.000Z,143.394,143.436,143.246,143.25,2312
2023-06-23T06:15:00.000Z,143.252,143.285,143.226,143.226,1549
2023-06-23T06:30:00.000Z,143.229,143.348,143.21,143.327,1477
2023-06-23T06:45:00.000Z,143.323,143.45,143.32,143.401,1499
2023-06-23T07:00:00.000Z,143.405,143.438,143.247,143.299,1942
2023-06-23T07:15:00.000Z,143.279,143.279,142.98,143.005,3298
2023-06-23T07:30:00.000Z,143.006,143.027,142.771,142.852,3663
2023-06-23T07:45:00.000Z,142.853,142.902,142.816,142.881,2577
2023-06-23T08:00:00.000Z,142.889,143.021,142.869,142.954,2592
2023-06-23T08:15:00.000Z,142.954,143.046,142.876,142.893,2207
2023-06-23T08:30:00.000Z,142.894,143.057,142.875,143.018,2088
2023-06-23T08:45:00.000Z,143.017,143.08,143.004,143.06,1784
2023-06-23T09:00:00.000Z,143.06,143.246,143.059,143.18,1783
2023-06-23T09:15:00.000Z,143.18,143.219,143.08,143.104,1732
2023-06-23T09:30:00.000Z,143.104,143.172,143.061,143.162,1598
2023-06-23T09:45:00.000Z,143.161,143.255,143.129,143.225,1572
2023-06-23T10:00:00.000Z,143.224,143.302,143.174,143.186,1407
2023-06-23T10:15:00.000Z,143.184,143.315,143.172,143.296,1319
2023-06-23T10:30:00.000Z,143.294,143.303,143.243,143.266,1273
2023-06-23T10:45:00.000Z,143.265,143.312,143.236,143.268,1336
2023-06-23T11:00:00.000Z,143.269,143.274,143.194,143.231,1412
2023-06-23T11:15:00.000Z,143.23,143.263,143.204,143.235,1129
2023-06-23T11:30:00.000Z,143.235,143.273,143.182,143.239,1192
2023-06-23T11:45:00.000Z,143.24,143.32,143.229,143.263,1258
2023-06-23T12:00:00.000Z,143.262,143.287,143.133,143.164,1913
2023-06-23T12:15:00.000Z,143.165,143.165,143.003,143.021,2215
2023-06-23T12:30:00.000Z,143.022,143.053,142.971,142.983,2104
2023-06-23T12:45:00.000Z,142.982,142.982,142.793,142.87,2647
2023-06-23T13:00:00.000Z,142.87,142.9,142.791,142.864,2404
2023-06-23T13:15:00.000Z,142.865,142.87,142.754,142.837,2194
2023-06-23T13:30:00.000Z,142.84,142.992,142.84,142.93,2575
2023-06-23T13:45:00.000Z,142.929,143.279,142.662,143.278,3465
2023-06-23T14:00:00.000Z,143.279,143.463,143.278,143.447,2671
2023-06-23T14:15:00.000Z,143.446,143.678,143.446,143.606,2686
2023-06-23T14:30:00.000Z,143.607,143.689,143.58,143.664,2409
2023-06-23T14:45:00.000Z,143.663,143.749,143.633,143.742,2141
2023-06-23T15:00:00.000Z,143.741,143.87,143.703,143.726,2108
2023-06-23T15:15:00.000Z,143.725,143.792,143.699,143.76,1677
2023-06-23T15:30:00.000Z,143.76,143.766,143.673,143.704,1898
2023-06-23T15:45:00.000Z,143.703,143.817,143.699,143.785,1547
2023-06-23T16:00:00.000Z,143.786,143.859,143.778,143.827,1362
2023-06-23T16:15:00.000Z,143.829,143.861,143.806,143.832,1143
2023-06-23T16:30:00.000Z,143.833,143.866,143.807,143.845,1063
2023-06-23T16:45:00.000Z,143.847,143.873,143.838,143.866,899
2023-06-23T17:00:00.000Z,143.864,143.864,143.776,143.783,1073
2023-06-23T17:15:00.000Z,143.782,143.83,143.767,143.782,1088
2023-06-23T17:30:00.000Z,143.781,143.797,143.745,143.767,1074
2023-06-23T17:45:00.000Z,143.769,143.782,143.717,143.725,867
2023-06-23T18:00:00.000Z,143.725,143.745,143.689,143.694,925
